filepath,label
data/Diabetic Retinopathy/train/images/IMAGE_00395.jpg,2
data/Diabetic Retinopathy/train/images/IMAGE_01611.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01432.png,0
data/Diabetic Retinopathy/train/images/IMAGE_00447.jpg,2
data/Diabetic Retinopathy/train/images/IMAGE_00943.png,0
data/Diabetic Retinopathy/train/images/IMAGE_01544.png,2
data/Diabetic Retinopathy/train/images/IMAGE_01084.png,0
data/Diabetic Retinopathy/train/images/IMAGE_00932.png,0
data/Diabetic Retinopathy/train/images/IMAGE_00193.jpg,2
data/Diabetic Retinopathy/train/images/IMAGE_00143.jpg,2
data/Diabetic Retinopathy/train/images/IMAGE_02247.jpg,1
data/Diabetic Retinopathy/train/images/IMAGE_01857.jpg,1
data/Diabetic Retinopathy/train/images/IMAGE_00177.jpg,3
data/Diabetic Retinopathy/train/images/IMAGE_00726.png,0
data/Diabetic Retinopathy/train/images/IMAGE_01373.png,0
data/Diabetic Retinopathy/train/images/IMAGE_01171.png,0
data/Diabetic Retinopathy/train/images/IMAGE_00533.png,4
data/Diabetic Retinopathy/train/images/IMAGE_00933.png,4
data/Diabetic Retinopathy/train/images/IMAGE_01382.png,1
data/Diabetic Retinopathy/train/images/IMAGE_00513.png,1
data/Diabetic Retinopathy/train/images/IMAGE_01871.jpg,1
data/Diabetic Retinopathy/train/images/IMAGE_02020.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00150.jpg,2
data/Diabetic Retinopathy/train/images/IMAGE_01823.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01866.jpg,1
data/Diabetic Retinopathy/train/images/IMAGE_00892.png,2
data/Diabetic Retinopathy/train/images/IMAGE_00118.jpg,2
data/Diabetic Retinopathy/train/images/IMAGE_00734.png,0
data/Diabetic Retinopathy/train/images/IMAGE_00373.jpg,3
data/Diabetic Retinopathy/train/images/IMAGE_00830.png,2
data/Diabetic Retinopathy/train/images/IMAGE_00320.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00994.png,0
data/Diabetic Retinopathy/train/images/IMAGE_01671.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01298.png,3
data/Diabetic Retinopathy/train/images/IMAGE_00200.jpg,3
data/Diabetic Retinopathy/train/images/IMAGE_01173.png,0
data/Diabetic Retinopathy/train/images/IMAGE_01963.jpg,4
data/Diabetic Retinopathy/train/images/IMAGE_01975.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_02002.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00688.png,0
data/Diabetic Retinopathy/train/images/IMAGE_01686.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01851.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00494.jpg,2
data/Diabetic Retinopathy/train/images/IMAGE_02188.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00652.png,0
data/Diabetic Retinopathy/train/images/IMAGE_00318.jpg,2
data/Diabetic Retinopathy/train/images/IMAGE_01304.png,1
data/Diabetic Retinopathy/train/images/IMAGE_01111.png,2
data/Diabetic Retinopathy/train/images/IMAGE_00089.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00824.png,2
data/Diabetic Retinopathy/train/images/IMAGE_01595.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01926.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01076.png,0
data/Diabetic Retinopathy/train/images/IMAGE_00522.png,2
data/Diabetic Retinopathy/train/images/IMAGE_00677.png,2
data/Diabetic Retinopathy/train/images/IMAGE_01892.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01799.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01132.png,2
data/Diabetic Retinopathy/train/images/IMAGE_01302.png,2
data/Diabetic Retinopathy/train/images/IMAGE_02123.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01665.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_02249.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00905.png,2
data/Diabetic Retinopathy/train/images/IMAGE_00898.png,4
data/Diabetic Retinopathy/train/images/IMAGE_00587.png,2
data/Diabetic Retinopathy/train/images/IMAGE_01990.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01422.png,2
data/Diabetic Retinopathy/train/images/IMAGE_01103.png,0
data/Diabetic Retinopathy/train/images/IMAGE_00389.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00093.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00186.jpg,2
data/Diabetic Retinopathy/train/images/IMAGE_00260.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01193.png,2
data/Diabetic Retinopathy/train/images/IMAGE_02071.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00131.jpg,2
data/Diabetic Retinopathy/train/images/IMAGE_01150.png,1
data/Diabetic Retinopathy/train/images/IMAGE_02208.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01284.png,0
data/Diabetic Retinopathy/train/images/IMAGE_00946.png,0
data/Diabetic Retinopathy/train/images/IMAGE_00276.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01601.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00783.png,0
data/Diabetic Retinopathy/train/images/IMAGE_00571.png,0
data/Diabetic Retinopathy/train/images/IMAGE_00619.png,3
data/Diabetic Retinopathy/train/images/IMAGE_00486.jpg,1
data/Diabetic Retinopathy/train/images/IMAGE_02244.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01722.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00814.png,2
data/Diabetic Retinopathy/train/images/IMAGE_00431.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00957.png,3
data/Diabetic Retinopathy/train/images/IMAGE_01640.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01465.png,1
data/Diabetic Retinopathy/train/images/IMAGE_00499.jpg,1
data/Diabetic Retinopathy/train/images/IMAGE_01717.jpg,2
data/Diabetic Retinopathy/train/images/IMAGE_00252.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01407.png,0
data/Diabetic Retinopathy/train/images/IMAGE_01756.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00893.png,2
data/Diabetic Retinopathy/train/images/IMAGE_00569.png,1
data/Diabetic Retinopathy/train/images/IMAGE_00810.png,1
data/Diabetic Retinopathy/train/images/IMAGE_00714.png,0
data/Diabetic Retinopathy/train/images/IMAGE_01094.png,0
data/Diabetic Retinopathy/train/images/IMAGE_01138.png,0
data/Diabetic Retinopathy/train/images/IMAGE_00881.png,0
data/Diabetic Retinopathy/train/images/IMAGE_00645.png,0
data/Diabetic Retinopathy/train/images/IMAGE_01698.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00607.png,0
data/Diabetic Retinopathy/train/images/IMAGE_01642.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01095.png,1
data/Diabetic Retinopathy/train/images/IMAGE_00712.png,0
data/Diabetic Retinopathy/train/images/IMAGE_01203.png,0
data/Diabetic Retinopathy/train/images/IMAGE_00549.png,2
data/Diabetic Retinopathy/train/images/IMAGE_00037.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_02082.jpg,2
data/Diabetic Retinopathy/train/images/IMAGE_01151.png,1
data/Diabetic Retinopathy/train/images/IMAGE_00745.png,1
data/Diabetic Retinopathy/train/images/IMAGE_01282.png,2
data/Diabetic Retinopathy/train/images/IMAGE_00346.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01227.png,1
data/Diabetic Retinopathy/train/images/IMAGE_01411.png,0
data/Diabetic Retinopathy/train/images/IMAGE_01201.png,0
data/Diabetic Retinopathy/train/images/IMAGE_01371.png,0
data/Diabetic Retinopathy/train/images/IMAGE_01516.png,0
data/Diabetic Retinopathy/train/images/IMAGE_02125.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_02185.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00991.png,0
data/Diabetic Retinopathy/train/images/IMAGE_01479.png,0
data/Diabetic Retinopathy/train/images/IMAGE_00678.png,2
data/Diabetic Retinopathy/train/images/IMAGE_00013.jpg,3
data/Diabetic Retinopathy/train/images/IMAGE_01385.png,1
data/Diabetic Retinopathy/train/images/IMAGE_02006.jpg,2
data/Diabetic Retinopathy/train/images/IMAGE_01395.png,2
data/Diabetic Retinopathy/train/images/IMAGE_00682.png,2
data/Diabetic Retinopathy/train/images/IMAGE_01633.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01514.png,0
data/Diabetic Retinopathy/train/images/IMAGE_00984.png,2
data/Diabetic Retinopathy/train/images/IMAGE_01073.png,0
data/Diabetic Retinopathy/train/images/IMAGE_00805.png,1
data/Diabetic Retinopathy/train/images/IMAGE_00568.png,1
data/Diabetic Retinopathy/train/images/IMAGE_00703.png,0
data/Diabetic Retinopathy/train/images/IMAGE_01037.png,0
data/Diabetic Retinopathy/train/images/IMAGE_00262.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00355.jpg,3
data/Diabetic Retinopathy/train/images/IMAGE_01442.png,2
data/Diabetic Retinopathy/train/images/IMAGE_02114.jpg,2
data/Diabetic Retinopathy/train/images/IMAGE_01645.jpg,2
data/Diabetic Retinopathy/train/images/IMAGE_01591.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_02142.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01614.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00582.png,2
data/Diabetic Retinopathy/train/images/IMAGE_02103.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00404.jpg,2
data/Diabetic Retinopathy/train/images/IMAGE_01981.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01008.png,1
data/Diabetic Retinopathy/train/images/IMAGE_01660.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01605.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01096.png,1
data/Diabetic Retinopathy/train/images/IMAGE_01156.png,3
data/Diabetic Retinopathy/train/images/IMAGE_00802.png,0
data/Diabetic Retinopathy/train/images/IMAGE_01538.png,0
data/Diabetic Retinopathy/train/images/IMAGE_00604.png,2
data/Diabetic Retinopathy/train/images/IMAGE_00223.jpg,2
data/Diabetic Retinopathy/train/images/IMAGE_01237.png,1
data/Diabetic Retinopathy/train/images/IMAGE_00182.jpg,2
data/Diabetic Retinopathy/train/images/IMAGE_01853.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00887.png,2
data/Diabetic Retinopathy/train/images/IMAGE_00306.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00614.png,0
data/Diabetic Retinopathy/train/images/IMAGE_00057.jpg,4
data/Diabetic Retinopathy/train/images/IMAGE_02083.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00564.png,1
data/Diabetic Retinopathy/train/images/IMAGE_01904.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01876.jpg,1
data/Diabetic Retinopathy/train/images/IMAGE_00685.png,0
data/Diabetic Retinopathy/train/images/IMAGE_00679.png,2
data/Diabetic Retinopathy/train/images/IMAGE_02252.jpg,2
data/Diabetic Retinopathy/train/images/IMAGE_01666.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01495.png,3
data/Diabetic Retinopathy/train/images/IMAGE_01130.png,2
data/Diabetic Retinopathy/train/images/IMAGE_00028.jpg,2
data/Diabetic Retinopathy/train/images/IMAGE_01878.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_02207.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00462.jpg,2
data/Diabetic Retinopathy/train/images/IMAGE_00813.png,2
data/Diabetic Retinopathy/train/images/IMAGE_00870.png,0
data/Diabetic Retinopathy/train/images/IMAGE_01410.png,0
data/Diabetic Retinopathy/train/images/IMAGE_00148.jpg,4
data/Diabetic Retinopathy/train/images/IMAGE_00145.jpg,2
data/Diabetic Retinopathy/train/images/IMAGE_00302.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00179.jpg,3
data/Diabetic Retinopathy/train/images/IMAGE_00292.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01197.png,2
data/Diabetic Retinopathy/train/images/IMAGE_01879.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00272.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00992.png,0
data/Diabetic Retinopathy/train/images/IMAGE_02043.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00958.png,3
data/Diabetic Retinopathy/train/images/IMAGE_00416.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00128.jpg,3
data/Diabetic Retinopathy/train/images/IMAGE_01551.png,2
data/Diabetic Retinopathy/train/images/IMAGE_00751.png,0
data/Diabetic Retinopathy/train/images/IMAGE_00753.png,0
data/Diabetic Retinopathy/train/images/IMAGE_01776.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01211.png,0
data/Diabetic Retinopathy/train/images/IMAGE_01598.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01736.jpg,2
data/Diabetic Retinopathy/train/images/IMAGE_00715.png,0
data/Diabetic Retinopathy/train/images/IMAGE_01568.jpg,2
data/Diabetic Retinopathy/train/images/IMAGE_00781.png,0
data/Diabetic Retinopathy/train/images/IMAGE_01545.png,2
data/Diabetic Retinopathy/train/images/IMAGE_00878.png,0
data/Diabetic Retinopathy/train/images/IMAGE_02061.jpg,4
data/Diabetic Retinopathy/train/images/IMAGE_00847.png,0
data/Diabetic Retinopathy/train/images/IMAGE_00951.png,0
data/Diabetic Retinopathy/train/images/IMAGE_02206.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00975.png,0
data/Diabetic Retinopathy/train/images/IMAGE_00588.png,2
data/Diabetic Retinopathy/train/images/IMAGE_01855.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00109.jpg,4
data/Diabetic Retinopathy/train/images/IMAGE_00463.jpg,3
data/Diabetic Retinopathy/train/images/IMAGE_01800.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00509.jpg,2
data/Diabetic Retinopathy/train/images/IMAGE_02098.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_02170.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00419.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00281.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01720.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01347.png,1
data/Diabetic Retinopathy/train/images/IMAGE_00111.jpg,3
data/Diabetic Retinopathy/train/images/IMAGE_01300.png,1
data/Diabetic Retinopathy/train/images/IMAGE_00392.jpg,1
data/Diabetic Retinopathy/train/images/IMAGE_01115.png,1
data/Diabetic Retinopathy/train/images/IMAGE_00278.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01635.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00556.png,3
data/Diabetic Retinopathy/train/images/IMAGE_01166.png,0
data/Diabetic Retinopathy/train/images/IMAGE_01936.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00034.jpg,3
data/Diabetic Retinopathy/train/images/IMAGE_00227.jpg,2
data/Diabetic Retinopathy/train/images/IMAGE_01196.png,2
data/Diabetic Retinopathy/train/images/IMAGE_00722.png,0
data/Diabetic Retinopathy/train/images/IMAGE_01692.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01693.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01905.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01438.png,3
data/Diabetic Retinopathy/train/images/IMAGE_01912.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00255.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01325.png,0
data/Diabetic Retinopathy/train/images/IMAGE_00641.png,0
data/Diabetic Retinopathy/train/images/IMAGE_00482.jpg,3
data/Diabetic Retinopathy/train/images/IMAGE_01992.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01424.png,0
data/Diabetic Retinopathy/train/images/IMAGE_01655.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_02245.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01015.png,0
data/Diabetic Retinopathy/train/images/IMAGE_01309.png,0
data/Diabetic Retinopathy/train/images/IMAGE_01919.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01617.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00770.png,0
data/Diabetic Retinopathy/train/images/IMAGE_00861.png,0
data/Diabetic Retinopathy/train/images/IMAGE_01523.png,0
data/Diabetic Retinopathy/train/images/IMAGE_00799.png,2
data/Diabetic Retinopathy/train/images/IMAGE_00344.jpg,2
data/Diabetic Retinopathy/train/images/IMAGE_01120.png,0
data/Diabetic Retinopathy/train/images/IMAGE_01490.png,0
data/Diabetic Retinopathy/train/images/IMAGE_01117.png,1
data/Diabetic Retinopathy/train/images/IMAGE_01271.png,1
data/Diabetic Retinopathy/train/images/IMAGE_01013.png,1
data/Diabetic Retinopathy/train/images/IMAGE_00615.png,2
data/Diabetic Retinopathy/train/images/IMAGE_00563.png,2
data/Diabetic Retinopathy/train/images/IMAGE_00449.jpg,2
data/Diabetic Retinopathy/train/images/IMAGE_00647.png,0
data/Diabetic Retinopathy/train/images/IMAGE_01161.png,2
data/Diabetic Retinopathy/train/images/IMAGE_00175.jpg,2
data/Diabetic Retinopathy/train/images/IMAGE_00600.png,4
data/Diabetic Retinopathy/train/images/IMAGE_01646.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00271.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00479.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01352.png,0
data/Diabetic Retinopathy/train/images/IMAGE_01621.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01032.png,2
data/Diabetic Retinopathy/train/images/IMAGE_01295.png,2
data/Diabetic Retinopathy/train/images/IMAGE_00623.png,4
data/Diabetic Retinopathy/train/images/IMAGE_00191.jpg,4
data/Diabetic Retinopathy/train/images/IMAGE_01487.png,3
data/Diabetic Retinopathy/train/images/IMAGE_01840.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_02202.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00620.png,2
data/Diabetic Retinopathy/train/images/IMAGE_00043.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01735.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_02147.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00807.png,2
data/Diabetic Retinopathy/train/images/IMAGE_01522.png,0
data/Diabetic Retinopathy/train/images/IMAGE_01651.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_02014.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01674.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01255.png,0
data/Diabetic Retinopathy/train/images/IMAGE_00637.png,0
data/Diabetic Retinopathy/train/images/IMAGE_00290.jpg,2
data/Diabetic Retinopathy/train/images/IMAGE_02010.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00796.png,2
data/Diabetic Retinopathy/train/images/IMAGE_01760.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00757.png,0
data/Diabetic Retinopathy/train/images/IMAGE_00050.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00154.jpg,2
data/Diabetic Retinopathy/train/images/IMAGE_01157.png,0
data/Diabetic Retinopathy/train/images/IMAGE_01699.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00671.png,2
data/Diabetic Retinopathy/train/images/IMAGE_00139.jpg,2
data/Diabetic Retinopathy/train/images/IMAGE_02175.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00178.jpg,2
data/Diabetic Retinopathy/train/images/IMAGE_01744.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00882.png,0
data/Diabetic Retinopathy/train/images/IMAGE_00339.jpg,2
data/Diabetic Retinopathy/train/images/IMAGE_01383.png,1
data/Diabetic Retinopathy/train/images/IMAGE_00268.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00926.png,4
data/Diabetic Retinopathy/train/images/IMAGE_00042.jpg,3
data/Diabetic Retinopathy/train/images/IMAGE_01057.png,2
data/Diabetic Retinopathy/train/images/IMAGE_00361.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01269.png,2
data/Diabetic Retinopathy/train/images/IMAGE_00818.png,2
data/Diabetic Retinopathy/train/images/IMAGE_00129.jpg,4
data/Diabetic Retinopathy/train/images/IMAGE_01628.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00375.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00330.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01951.jpg,1
data/Diabetic Retinopathy/train/images/IMAGE_00110.jpg,4
data/Diabetic Retinopathy/train/images/IMAGE_01044.png,0
data/Diabetic Retinopathy/train/images/IMAGE_00026.jpg,3
data/Diabetic Retinopathy/train/images/IMAGE_00254.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01606.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_02221.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01042.png,0
data/Diabetic Retinopathy/train/images/IMAGE_02047.jpg,4
data/Diabetic Retinopathy/train/images/IMAGE_00059.jpg,2
data/Diabetic Retinopathy/train/images/IMAGE_01031.png,2
data/Diabetic Retinopathy/train/images/IMAGE_02000.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00016.jpg,3
data/Diabetic Retinopathy/train/images/IMAGE_00837.png,2
data/Diabetic Retinopathy/train/images/IMAGE_01261.png,0
data/Diabetic Retinopathy/train/images/IMAGE_00244.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00594.png,0
data/Diabetic Retinopathy/train/images/IMAGE_02243.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00469.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_02210.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01258.png,0
data/Diabetic Retinopathy/train/images/IMAGE_01771.jpg,2
data/Diabetic Retinopathy/train/images/IMAGE_00161.jpg,2
data/Diabetic Retinopathy/train/images/IMAGE_00437.jpg,2
data/Diabetic Retinopathy/train/images/IMAGE_01889.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_02022.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01643.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00351.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01023.png,3
data/Diabetic Retinopathy/train/images/IMAGE_00363.jpg,2
data/Diabetic Retinopathy/train/images/IMAGE_01409.png,2
data/Diabetic Retinopathy/train/images/IMAGE_00491.jpg,4
data/Diabetic Retinopathy/train/images/IMAGE_00097.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01369.png,0
data/Diabetic Retinopathy/train/images/IMAGE_02158.jpg,2
data/Diabetic Retinopathy/train/images/IMAGE_00876.png,1
data/Diabetic Retinopathy/train/images/IMAGE_01893.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00559.png,0
data/Diabetic Retinopathy/train/images/IMAGE_01747.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00860.png,0
data/Diabetic Retinopathy/train/images/IMAGE_01043.png,1
data/Diabetic Retinopathy/train/images/IMAGE_00640.png,0
data/Diabetic Retinopathy/train/images/IMAGE_01844.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01581.jpg,2
data/Diabetic Retinopathy/train/images/IMAGE_01830.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01619.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00495.jpg,2
data/Diabetic Retinopathy/train/images/IMAGE_00868.png,0
data/Diabetic Retinopathy/train/images/IMAGE_02080.jpg,1
data/Diabetic Retinopathy/train/images/IMAGE_01815.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01923.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01989.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00896.png,2
data/Diabetic Retinopathy/train/images/IMAGE_01181.png,1
data/Diabetic Retinopathy/train/images/IMAGE_00592.png,2
data/Diabetic Retinopathy/train/images/IMAGE_00368.jpg,1
data/Diabetic Retinopathy/train/images/IMAGE_01652.jpg,1
data/Diabetic Retinopathy/train/images/IMAGE_00399.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01708.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01820.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00959.png,3
data/Diabetic Retinopathy/train/images/IMAGE_01420.png,0
data/Diabetic Retinopathy/train/images/IMAGE_01359.png,2
data/Diabetic Retinopathy/train/images/IMAGE_00680.png,2
